@relation Nomao

@attribute c2 numeric
@attribute c3 numeric
@attribute c4 numeric
@attribute c5 numeric
@attribute c6 numeric
@attribute c7 numeric
@attribute c8 {s,n}
@attribute c9 {s,n}
@attribute c10 numeric
@attribute c11 numeric
@attribute c12 numeric
@attribute c13 numeric
@attribute c14 numeric
@attribute c15 numeric
@attribute c16 {m,s,n}
@attribute c17 {m,s,n}
@attribute c18 numeric
@attribute c19 numeric
@attribute c20 numeric
@attribute c21 numeric
@attribute c22 numeric
@attribute c23 numeric
@attribute c24 {m,s,n}
@attribute c25 {m,s,n}
@attribute c26 numeric
@attribute c27 numeric
@attribute c28 numeric
@attribute c29 numeric
@attribute c30 numeric
@attribute c31 numeric
@attribute c32 {m,s,n}
@attribute c33 {m,s,n}
@attribute c34 numeric
@attribute c35 numeric
@attribute c36 numeric
@attribute c37 numeric
@attribute c38 numeric
@attribute c39 numeric
@attribute c40 {m,s,n}
@attribute c41 {m,s,n}
@attribute c42 numeric
@attribute c43 numeric
@attribute c44 numeric
@attribute c45 numeric
@attribute c46 numeric
@attribute c47 numeric
@attribute c48 {m,s,n}
@attribute c49 {m,s,n}
@attribute c50 numeric
@attribute c51 numeric
@attribute c52 numeric
@attribute c53 numeric
@attribute c54 numeric
@attribute c55 numeric
@attribute c56 {s,m,n}
@attribute c57 {s,m,n}
@attribute c58 numeric
@attribute c59 numeric
@attribute c60 numeric
@attribute c61 numeric
@attribute c62 numeric
@attribute c63 numeric
@attribute c64 {n,s,m}
@attribute c65 {n,s,m}
@attribute c66 numeric
@attribute c67 numeric
@attribute c68 numeric
@attribute c69 numeric
@attribute c70 numeric
@attribute c71 numeric
@attribute c72 {s,n,m}
@attribute c73 {s,n,m}
@attribute c74 numeric
@attribute c75 numeric
@attribute c76 numeric
@attribute c77 numeric
@attribute c78 numeric
@attribute c79 numeric
@attribute c80 {s,n,m}
@attribute c81 {s,n,m}
@attribute c82 numeric
@attribute c83 numeric
@attribute c84 numeric
@attribute c85 numeric
@attribute c86 numeric
@attribute c87 numeric
@attribute c88 {s,m,n}
@attribute c89 {s,m,n}
@attribute c90 numeric
@attribute c91 numeric
@attribute c92 numeric
@attribute c93 {m,n,s}
@attribute c94 numeric
@attribute c95 numeric
@attribute c96 numeric
@attribute c97 {m,s,n}
@attribute c98 numeric
@attribute c99 numeric
@attribute c100 numeric
@attribute c101 {s,n,m}
@attribute c102 numeric
@attribute c103 numeric
@attribute c104 numeric
@attribute c105 {s,n,m}
@attribute c106 numeric
@attribute c107 numeric
@attribute c108 numeric
@attribute c109 {s,n,m}
@attribute c110 numeric
@attribute c111 numeric
@attribute c112 numeric
@attribute c113 {n,m,s}
@attribute c114 numeric
@attribute c115 numeric
@attribute c116 numeric
@attribute c117 {n,m,s}
@attribute c118 numeric
@attribute c119 numeric
@attribute class {1,-1}

@data
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.714286,0.625,0.82,0.738462,0.868421,0.744186,n,n,1,0.333333,0.5,0.5,0.44898,0.479167,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,0.987802,0.333333,0.176471,n,0.99763,0.5,0.235294,n,0.999911,0.555556,0.357143,n,0.999862,0.6,0.4,n,0.999842,1,1
1,0.666667,0.8,0.8,0.571429,0.619048,s,n,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.875,0.933333,0.933333,0.934783,0.956522,s,n,0.875,0.875,0.916667,0.90625,0.92,0.9,n,n,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,1,1,1,s,?,?,?,m,1,1,1,s,0.999997,0.666667,0.428571,n,0.999971,0.7,0.466667,n,1,0.888889,0.727273,n,1,0.8,0.615385,n,1,1,1
0.333333,0.333333,0.659722,0.541667,0.571429,0.44,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,0.125,0.222222,0.222222,0.046512,0.069767,s,n,0,0,0,0,0,0,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,s,?,?,?,m,?,?,?,n,0.986169,0.6,0.2,n,0.985868,0.5,0.25,n,?,?,?,m,?,?,?,m,0.999598,?,1
1,0.5,0.666667,0.666667,0.636364,0.666667,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.714286,0.714286,0.87619,0.831633,0.857143,0.763158,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.000001,0.363636,0.2,n,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,0.6,0.75,0.75,0.647059,0.647059,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,0.999731,0.666667,0.333333,n,0.999899,0.7,0.375,n,?,?,?,m,?,?,?,m,1,?,1
1,0.2,0.333333,0.333333,0.125,0.15625,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.571429,0.4,0.606712,0.5,0.37931,0.232877,n,n,1,0.428571,0.6,0.6,0.619048,0.609756,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,0.987092,0.444444,0.176471,n,0.998789,0.5,0.3125,n,?,?,?,m,?,?,?,m,0.999828,?,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.666667,0.571429,0.815385,0.705128,0.7,0.604167,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,0.999845,0.444444,0.25,n,0.999912,0.6,0.375,n,?,?,?,m,?,?,?,m,1,?,1
1,1,1,1,0.6,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0,0,0.230476,0,0.285714,0,n,n,1,0.333333,0.5,0.5,0.363636,0.382353,s,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,0.992592,0.333333,0.176471,n,0.984306,0.5,0.235294,n,?,?,?,m,?,?,?,m,0.99969,?,1
1,0.5,0.666667,0.666667,0.352941,0.388889,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.666667,0.8,0.8,0.636364,0.65625,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,1,1,1,s,0.999998,0.666667,0.428571,n,1,1,1
0,0,0.354167,0.127778,0.272727,0.095238,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.666667,0.285714,0.566667,0.45,0.305556,0.375,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.000005,0.636364,0.263158,n,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,-1
0,0,0.246032,0.076667,0.194805,0.103448,n,n,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,1,1,1,s,1,1,1,s,0.986871,0.375,0.142857,n,0.999508,0.666667,0.428571,n,1,0.999823,-1
0.5,0.5,0.555556,0.5,0.529412,0.333333,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,0.166667,0.1,0.304688,0.152192,0.333333,0.109589,n,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.833333,0.909091,0.909091,0.657143,0.916667,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,?,?,?,n,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
0,0,0.09375,0,0.1,0,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,0.333333,0.5,0.5,0.333333,0.375,s,n,0.857143,0.75,0.855556,0.826667,0.795455,0.755556,n,n,1,0.75,0.857143,0.857143,0.772727,0.772727,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,0.999593,0.625,0.285714,n,0.99979,0.7,0.4,n,?,?,?,m,?,?,?,m,1,?,-1
0.666667,0.5,0.840136,0.761905,0.681818,0.608696,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.666667,0.666667,0.666667,0.666667,0.583333,0.5625,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.666667,0.666667,0.722222,0.708333,0.709677,0.628571,n,n,1,0.857143,0.923077,0.923077,0.911765,0.911765,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,?,?,?,n,0.998682,0.555556,0.25,n,0.999596,0.6,0.333333,n,0.996569,0.375,0.2,n,0.998979,0.666667,0.333333,n,0.999998,0.999987,1
1,0.8,0.888889,0.888889,0.8,0.8,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.5,0.428571,0.730037,0.583333,0.605263,0.577778,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,1,1,1,s,1,1,1,s,0.99967,0.571429,0.3,n,0.99998,0.75,0.545455,n,1,1,1
1,0.5,0.666667,0.666667,0.210526,0.55,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.6,0.5,0.545455,0.545455,0.382353,0.477273,n,n,0.666667,0.666667,0.714286,0.666667,0.707317,0.54,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.000002,0.454545,0.263158,n,?,?,?,m,?,?,?,n,0.99478,0.444444,0.176471,n,0.996011,0.7,0.294118,n,?,?,?,m,?,?,?,m,0.999956,?,-1
1,1,1,1,0.166667,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.5,0.666667,0.666667,0.485714,0.5,s,n,1,0.5,0.666667,0.666667,0.485714,0.5,s,n,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,1,1,1,s,?,?,?,m,?,?,?,n,0.995874,0.333333,0.176471,n,0.993195,0.4,0.157895,n,0.995874,0.333333,0.176471,n,0.993195,0.4,0.157895,n,0.999936,0.999936,1
0.666667,0.666667,0.666667,0.666667,0.736842,0.636364,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.833333,0.833333,0.916667,0.880952,0.875,0.772727,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,0.999728,0.555556,0.333333,n,0.999996,0.7,0.466667,n,?,?,?,m,?,?,?,m,1,?,1
0,0,0.272727,0,0.272727,0,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.285714,0.166667,0.385772,0.231579,0.28,0.16092,n,n,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0,0.2,0.05,n,?,?,?,m,?,?,?,n,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,-1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.875,0.933333,0.933333,0.796296,0.811321,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,0.5,0.666667,0.666667,0.5,0.538462,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.875,0.777778,0.938375,0.862745,0.833333,0.833333,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,0.75,0.857143,0.857143,0.842105,0.894737,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.75,0.428571,0.689394,0.660606,0.794118,0.714286,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,0.333333,0.75,0.428571,n,1,1,1,s,1,1,1,s,0.999921,0.625,0.384615,n,0.999852,0.666667,0.428571,n,1,1,1
0,0,0.205128,0,0.210526,0,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.714286,0.714286,0.847619,0.785104,0.702128,0.692308,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,1,1,1,s,1,1,1,s,0.999713,0.277778,0.294118,n,0.999812,0.333333,0.272727,n,1,1,-1
0,0,0.666667,0.4,0.666667,0.4,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,1,1,1,s,1,1,1,s,0.970613,0.4,0.111111,n,0.989226,0.538462,0.166667,n,1,0.998966,-1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.375,0.333333,0.558123,0.438019,0.561404,0.371429,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,0.99999,0.8,0.461538,n,0.999987,0.7,0.416667,n,1,1,1
0.666667,0.5,0.653061,0.571429,0.615385,0.466667,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.8,0.666667,0.904545,0.809917,0.702703,0.710526,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,0.999952,0.666667,0.428571,n,0.999933,0.7,0.5,n,?,?,?,m,?,?,?,m,1,?,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.875,0.933333,0.933333,0.865385,0.895833,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
