@relation bank-full-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0

@attribute age numeric
@attribute job {management,technician,entrepreneur,blue-collar,unknown,retired,admin.,services,self-employed,unemployed,housemaid,student}
@attribute marital {married,single,divorced}
@attribute education {tertiary,secondary,unknown,primary}
@attribute default {no,yes}
@attribute balance numeric
@attribute housing {yes,no}
@attribute loan {no,yes}
@attribute contact {unknown,cellular,telephone}
@attribute day numeric
@attribute month {may,jun,jul,aug,oct,nov,dec,jan,feb,mar,apr,sep}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome {unknown,failure,other,success}
@attribute class {no,yes}

@data
35,housemaid,divorced,secondary,no,39,no,no,cellular,31,jul,149,2,-1,0,unknown,no
31,technician,single,secondary,no,1188,yes,no,cellular,19,nov,82,1,-1,0,unknown,no
33,management,married,tertiary,no,133,yes,no,unknown,26,may,308,4,-1,0,unknown,no
34,services,married,secondary,no,184,yes,no,cellular,18,nov,87,1,-1,0,unknown,no
58,technician,married,tertiary,no,1692,yes,no,telephone,17,jul,517,5,-1,0,unknown,no
48,unemployed,married,primary,no,0,no,no,cellular,21,nov,213,2,-1,0,unknown,no
34,blue-collar,married,primary,no,479,no,no,cellular,11,jul,772,1,-1,0,unknown,no
24,student,single,secondary,no,160,no,no,cellular,4,may,109,2,-1,0,unknown,no
54,services,married,secondary,no,882,yes,no,cellular,18,may,217,1,-1,0,unknown,no
33,technician,single,tertiary,no,0,no,no,cellular,14,aug,93,2,-1,0,unknown,no
37,self-employed,single,tertiary,no,2087,no,no,unknown,18,jun,167,1,-1,0,unknown,no
30,admin.,divorced,secondary,no,1320,yes,yes,cellular,5,may,122,3,362,1,failure,no
31,admin.,married,secondary,no,88,yes,yes,cellular,8,aug,189,2,-1,0,unknown,no
69,retired,divorced,tertiary,no,247,no,no,cellular,22,apr,138,2,-1,0,unknown,yes
40,technician,divorced,secondary,no,237,no,no,cellular,25,aug,87,5,-1,0,unknown,no
57,services,divorced,secondary,no,334,yes,no,cellular,10,jul,356,1,-1,0,unknown,no
31,entrepreneur,married,secondary,no,10,yes,yes,cellular,25,jul,13,9,-1,0,unknown,no
43,technician,married,secondary,no,310,yes,no,unknown,29,may,291,1,-1,0,unknown,no
40,housemaid,married,primary,no,34,no,no,cellular,25,aug,115,4,-1,0,unknown,no
34,admin.,married,secondary,no,471,yes,no,cellular,8,may,146,3,340,2,failure,no
47,blue-collar,married,secondary,no,737,no,yes,cellular,31,jul,120,3,-1,0,unknown,no
68,retired,married,tertiary,no,2812,no,no,cellular,4,aug,651,1,1,7,success,yes
34,management,married,tertiary,no,11,yes,no,cellular,18,nov,123,1,124,1,failure,no
37,admin.,single,secondary,no,127,no,no,cellular,23,mar,83,4,-1,0,unknown,no
33,blue-collar,married,secondary,no,-77,yes,no,cellular,28,jul,151,3,-1,0,unknown,no
30,services,single,primary,no,411,yes,no,cellular,6,may,457,1,358,1,other,no
41,services,married,secondary,no,171,no,no,cellular,21,jul,71,9,-1,0,unknown,no
40,technician,married,secondary,no,4341,no,no,cellular,20,nov,290,1,-1,0,unknown,no
52,management,divorced,tertiary,no,0,no,no,cellular,27,aug,153,4,-1,0,unknown,no
33,blue-collar,divorced,secondary,no,1,no,no,unknown,16,jun,66,5,-1,0,unknown,no
29,entrepreneur,married,secondary,no,714,yes,yes,cellular,13,may,482,2,-1,0,unknown,yes
49,technician,married,secondary,no,175,yes,yes,cellular,21,nov,70,1,-1,0,unknown,no
28,blue-collar,married,secondary,no,1238,yes,no,unknown,14,may,246,1,-1,0,unknown,no
51,blue-collar,married,secondary,no,707,yes,no,telephone,13,may,97,5,-1,0,unknown,no
35,technician,single,tertiary,no,354,yes,no,cellular,13,aug,274,1,-1,0,unknown,no
27,technician,single,secondary,no,643,no,no,telephone,14,oct,301,1,93,1,success,yes
51,blue-collar,married,primary,no,620,yes,yes,cellular,29,jul,88,10,-1,0,unknown,no
44,services,divorced,secondary,no,0,no,yes,cellular,17,jul,275,17,-1,0,unknown,no
32,blue-collar,married,secondary,no,596,yes,no,cellular,14,jul,397,3,-1,0,unknown,no
37,management,single,tertiary,no,361,no,no,cellular,20,aug,174,2,-1,0,unknown,no
43,admin.,single,tertiary,no,329,yes,no,unknown,16,may,218,2,-1,0,unknown,no
42,management,divorced,tertiary,no,9,yes,no,cellular,21,jul,509,1,-1,0,unknown,no
30,admin.,single,secondary,no,648,no,no,cellular,19,oct,54,1,-1,0,unknown,no
40,services,divorced,secondary,no,49,no,yes,cellular,18,jul,191,1,-1,0,unknown,no
35,services,married,secondary,no,0,no,no,unknown,9,jun,115,4,-1,0,unknown,no
49,housemaid,married,primary,no,360,no,no,unknown,30,jun,6,1,-1,0,unknown,no
59,management,married,tertiary,no,553,yes,no,cellular,7,jul,1272,3,-1,0,unknown,yes
38,technician,single,secondary,no,1130,no,no,cellular,4,jun,96,2,98,1,success,yes
33,management,single,tertiary,no,1097,no,yes,cellular,6,aug,308,4,-1,0,unknown,no
24,blue-collar,single,secondary,no,-398,yes,no,cellular,18,may,14,3,355,4,other,no
34,technician,single,secondary,no,347,yes,no,cellular,24,jul,947,6,-1,0,unknown,no
41,services,married,secondary,no,428,no,no,cellular,31,jul,38,2,-1,0,unknown,no
35,blue-collar,single,secondary,no,0,yes,no,cellular,5,feb,155,3,254,1,other,no
41,blue-collar,married,secondary,no,1334,yes,no,cellular,20,apr,234,5,-1,0,unknown,no
26,student,single,secondary,no,8015,no,no,cellular,26,may,109,1,-1,0,unknown,no
34,self-employed,married,tertiary,no,870,no,no,cellular,10,jul,58,1,-1,0,unknown,no
44,entrepreneur,divorced,tertiary,no,20179,yes,yes,cellular,21,nov,163,1,-1,0,unknown,no
41,services,married,secondary,no,572,yes,no,cellular,11,may,188,1,-1,0,unknown,no
65,housemaid,married,primary,no,715,no,no,cellular,11,mar,323,1,-1,0,unknown,yes
36,unemployed,married,tertiary,no,39385,no,no,cellular,1,oct,120,1,-1,0,unknown,no
32,management,single,secondary,no,1615,yes,no,cellular,21,nov,164,3,-1,0,unknown,no
37,technician,divorced,secondary,no,141,yes,no,cellular,6,may,848,1,364,3,failure,yes
52,self-employed,married,secondary,no,-488,yes,no,unknown,29,may,322,1,-1,0,unknown,no
30,management,single,tertiary,no,136,yes,no,unknown,23,may,152,1,-1,0,unknown,no
35,technician,married,secondary,no,-1459,yes,no,cellular,27,aug,28,14,-1,0,unknown,no
47,technician,married,secondary,no,503,yes,no,unknown,6,may,109,2,-1,0,unknown,no
38,technician,single,secondary,no,2079,yes,yes,unknown,29,may,122,1,-1,0,unknown,no
25,student,single,secondary,no,293,yes,no,telephone,5,may,170,2,-1,0,unknown,no
49,blue-collar,single,primary,no,3018,yes,no,unknown,15,may,93,1,-1,0,unknown,no
26,services,married,secondary,no,0,no,no,cellular,18,jul,409,2,-1,0,unknown,no
37,blue-collar,married,secondary,no,672,yes,no,unknown,29,may,129,2,-1,0,unknown,no
30,services,married,secondary,no,271,yes,no,unknown,15,may,365,1,-1,0,unknown,no
32,self-employed,married,tertiary,no,266,no,yes,cellular,20,nov,228,1,-1,0,unknown,no
30,admin.,single,secondary,no,98,yes,no,cellular,23,jul,100,5,-1,0,unknown,no
33,blue-collar,divorced,primary,no,1022,yes,no,cellular,5,may,154,1,-1,0,unknown,no
46,management,single,tertiary,no,-867,yes,yes,unknown,21,may,222,5,-1,0,unknown,no
29,admin.,single,secondary,no,200,yes,no,cellular,18,may,261,1,-1,0,unknown,no
31,housemaid,married,secondary,no,0,yes,no,cellular,10,jul,270,1,-1,0,unknown,no
27,blue-collar,married,primary,no,300,no,yes,cellular,22,jul,209,2,-1,0,unknown,no
60,retired,married,primary,no,949,no,yes,telephone,18,jul,239,2,-1,0,unknown,no
44,self-employed,married,tertiary,no,292,yes,no,unknown,6,may,162,1,-1,0,unknown,no
39,management,divorced,tertiary,no,3261,yes,no,unknown,9,jun,150,17,-1,0,unknown,no
32,services,single,secondary,no,1153,no,no,cellular,12,aug,340,2,-1,0,unknown,no
28,blue-collar,single,secondary,no,517,no,yes,cellular,8,jul,681,1,-1,0,unknown,yes
37,blue-collar,married,secondary,no,5334,no,no,unknown,6,jun,58,1,-1,0,unknown,no
37,unemployed,married,primary,no,236,yes,no,cellular,4,feb,101,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,4259,no,no,unknown,12,jun,454,4,-1,0,unknown,no
29,management,single,tertiary,no,91,no,no,cellular,30,apr,99,1,274,4,other,no
56,services,married,secondary,no,705,yes,no,unknown,29,may,151,2,-1,0,unknown,no
27,unemployed,married,secondary,no,724,yes,yes,cellular,17,apr,200,3,-1,0,unknown,no
54,services,divorced,secondary,no,0,no,no,cellular,18,mar,362,1,290,3,success,yes
31,technician,married,secondary,no,367,yes,no,cellular,8,aug,515,3,-1,0,unknown,no
38,technician,married,secondary,no,-6,no,no,cellular,26,aug,700,2,-1,0,unknown,no
41,housemaid,divorced,primary,no,22,yes,no,cellular,18,nov,238,3,126,4,other,no
32,technician,single,secondary,no,2421,yes,no,cellular,28,aug,14,8,-1,0,unknown,no
32,management,single,tertiary,no,1742,no,no,unknown,5,jun,231,2,-1,0,unknown,no
50,blue-collar,married,primary,no,8139,yes,no,cellular,18,aug,256,6,-1,0,unknown,no
51,blue-collar,married,secondary,no,1840,yes,no,cellular,18,aug,312,3,-1,0,unknown,no
56,blue-collar,married,secondary,no,2561,no,no,unknown,20,jun,13,6,-1,0,unknown,no
40,technician,married,secondary,no,4594,no,no,telephone,27,aug,296,5,-1,0,unknown,no
47,admin.,married,secondary,no,1156,no,yes,unknown,3,jul,74,5,-1,0,unknown,no
25,blue-collar,married,secondary,no,4280,no,yes,cellular,8,jul,148,2,-1,0,unknown,no
44,admin.,married,secondary,no,32,no,yes,unknown,16,jun,241,3,-1,0,unknown,no
32,admin.,married,secondary,no,2468,yes,yes,cellular,28,jul,131,4,-1,0,unknown,no
31,technician,single,secondary,no,2388,no,no,cellular,5,aug,123,1,-1,0,unknown,no
52,self-employed,divorced,tertiary,no,10653,yes,no,cellular,18,nov,336,1,-1,0,unknown,no
42,management,married,tertiary,no,254,no,no,cellular,9,dec,288,7,183,4,success,yes
47,unemployed,married,secondary,no,817,no,no,cellular,7,apr,721,4,-1,0,unknown,yes
27,management,single,secondary,no,35,no,no,cellular,4,jul,255,1,-1,0,unknown,no
39,management,single,tertiary,no,5976,no,no,cellular,27,aug,113,2,-1,0,unknown,no
37,management,married,tertiary,no,1967,yes,no,cellular,27,may,774,1,-1,0,unknown,no
44,management,married,tertiary,no,3762,no,no,cellular,28,aug,125,12,-1,0,unknown,no
28,self-employed,single,secondary,no,5679,yes,no,cellular,9,feb,701,4,-1,0,unknown,yes
30,unemployed,single,tertiary,no,4082,no,no,telephone,14,jun,215,1,459,17,other,no
30,services,married,secondary,no,1399,no,no,cellular,28,jul,168,6,-1,0,unknown,no
46,blue-collar,married,secondary,no,3696,yes,no,unknown,2,jun,161,2,-1,0,unknown,no
33,technician,married,secondary,no,133,no,no,cellular,4,may,218,1,-1,0,unknown,yes
33,blue-collar,single,secondary,no,1211,yes,no,cellular,15,may,39,1,361,4,failure,no
40,admin.,married,secondary,no,457,no,no,unknown,12,jul,9,1,-1,0,unknown,no
29,entrepreneur,single,tertiary,no,11,yes,no,unknown,12,may,214,4,-1,0,unknown,no
37,blue-collar,married,primary,no,2120,yes,no,cellular,15,may,655,3,175,4,failure,yes
44,entrepreneur,married,tertiary,no,31,no,no,unknown,9,jun,467,1,-1,0,unknown,no
29,technician,single,tertiary,no,405,yes,no,unknown,6,may,65,1,-1,0,unknown,no
38,blue-collar,single,secondary,no,3054,no,no,unknown,20,jun,24,11,-1,0,unknown,no
39,unemployed,married,secondary,no,-455,yes,no,unknown,23,may,542,2,-1,0,unknown,no
43,self-employed,married,tertiary,no,10072,no,no,cellular,24,feb,145,1,100,4,failure,no
29,blue-collar,single,secondary,no,-16,yes,yes,cellular,5,may,201,1,-1,0,unknown,no
42,management,married,tertiary,no,0,yes,no,cellular,15,jul,133,4,-1,0,unknown,no
32,blue-collar,married,secondary,no,0,yes,no,unknown,7,may,298,1,-1,0,unknown,no
50,technician,single,secondary,no,330,no,no,cellular,6,aug,376,3,-1,0,unknown,no
55,technician,married,secondary,no,0,yes,yes,unknown,20,jun,124,1,-1,0,unknown,no
46,unknown,single,unknown,no,63,no,no,unknown,19,jun,235,1,-1,0,unknown,no
38,management,divorced,tertiary,no,5455,yes,no,unknown,27,may,204,3,-1,0,unknown,no
59,management,married,secondary,no,1321,no,no,unknown,9,jun,3881,3,-1,0,unknown,yes
47,blue-collar,married,secondary,yes,-5,yes,no,unknown,7,may,444,1,-1,0,unknown,no
30,technician,single,secondary,no,958,no,no,cellular,8,aug,112,2,-1,0,unknown,no
45,admin.,divorced,secondary,no,1201,no,no,cellular,30,jul,652,2,-1,0,unknown,no
35,services,single,secondary,no,2467,no,no,cellular,20,nov,319,5,-1,0,unknown,no
57,services,single,primary,no,3777,yes,no,telephone,13,may,65,2,-1,0,unknown,no
44,management,married,secondary,no,488,no,yes,cellular,29,jan,138,2,183,11,failure,no
50,admin.,single,secondary,no,167,no,yes,cellular,4,feb,346,2,191,3,failure,no
32,management,single,secondary,no,1088,yes,no,cellular,6,apr,317,1,363,2,success,yes
35,technician,married,tertiary,no,16,yes,no,cellular,5,may,43,5,-1,0,unknown,no
58,self-employed,married,tertiary,no,5810,no,no,cellular,12,mar,139,1,-1,0,unknown,yes
38,admin.,married,secondary,no,1949,yes,no,cellular,15,may,157,3,-1,0,unknown,no
36,technician,married,secondary,no,154,yes,no,cellular,18,nov,231,1,96,2,other,no
49,blue-collar,married,secondary,no,1946,no,no,cellular,16,jul,486,1,-1,0,unknown,yes
54,management,married,tertiary,no,8509,yes,no,cellular,7,may,147,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,419,yes,no,cellular,20,apr,122,3,325,2,failure,no
34,management,married,tertiary,no,39,no,no,cellular,13,aug,160,1,-1,0,unknown,no
41,admin.,married,unknown,no,488,no,no,cellular,21,nov,174,1,-1,0,unknown,no
34,management,single,tertiary,no,318,yes,no,unknown,5,may,113,2,-1,0,unknown,no
33,student,single,unknown,no,2321,no,no,cellular,15,apr,699,2,381,2,failure,no
43,unknown,single,unknown,no,181,no,no,telephone,28,jan,41,1,-1,0,unknown,no
39,blue-collar,married,unknown,no,621,yes,no,cellular,20,apr,1333,5,-1,0,unknown,yes
60,blue-collar,married,primary,no,1670,no,no,cellular,4,aug,115,1,-1,0,unknown,no
30,admin.,single,tertiary,no,305,no,no,cellular,13,aug,75,1,105,3,success,no
47,management,married,tertiary,no,437,yes,no,cellular,20,nov,133,4,-1,0,unknown,no
46,management,divorced,secondary,no,145,yes,no,cellular,24,jul,72,5,-1,0,unknown,no
53,unemployed,married,secondary,no,7,no,no,cellular,30,jan,68,2,-1,0,unknown,no
52,blue-collar,married,primary,no,2396,yes,no,cellular,15,may,48,7,-1,0,unknown,no
41,housemaid,married,primary,no,884,no,no,unknown,9,jun,322,1,-1,0,unknown,no
36,management,married,tertiary,no,535,no,no,cellular,20,apr,150,2,-1,0,unknown,yes
35,self-employed,married,tertiary,no,1833,no,no,unknown,19,jun,138,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,387,yes,yes,cellular,13,may,413,1,-1,0,unknown,no
52,technician,divorced,primary,no,1500,no,no,unknown,15,may,148,3,-1,0,unknown,no
35,blue-collar,married,primary,no,442,yes,no,unknown,26,may,129,3,-1,0,unknown,no
39,technician,married,tertiary,no,122,no,no,unknown,20,jun,44,5,-1,0,unknown,no
31,blue-collar,single,primary,no,660,yes,no,cellular,28,aug,207,3,478,2,failure,no
25,student,single,tertiary,no,253,no,no,cellular,4,may,597,1,-1,0,unknown,yes
47,technician,divorced,secondary,no,4135,yes,no,unknown,14,may,283,8,-1,0,unknown,no
37,services,divorced,secondary,no,1472,yes,no,cellular,3,feb,126,3,-1,0,unknown,no
44,blue-collar,single,secondary,no,712,yes,yes,cellular,6,apr,740,3,-1,0,unknown,yes
58,technician,married,tertiary,no,1692,yes,no,telephone,17,jul,517,5,-1,0,unknown,no
37,blue-collar,married,primary,no,106,yes,no,cellular,25,aug,511,1,392,13,failure,yes
41,self-employed,married,tertiary,no,6000,yes,no,cellular,18,nov,265,1,-1,0,unknown,no
41,services,married,secondary,no,2399,yes,no,cellular,15,may,303,2,351,2,failure,no
48,unemployed,married,secondary,no,1811,yes,no,telephone,19,nov,137,4,111,3,failure,no
57,management,married,tertiary,no,1571,no,no,unknown,11,jun,230,13,-1,0,unknown,no
47,technician,single,secondary,no,361,no,no,unknown,9,jun,123,2,-1,0,unknown,no
54,management,single,tertiary,no,4393,yes,no,unknown,16,may,1297,3,-1,0,unknown,yes
39,technician,married,secondary,no,697,no,no,cellular,15,jun,108,1,-1,0,unknown,no
41,blue-collar,married,unknown,no,402,yes,no,cellular,4,feb,604,1,204,2,failure,no
59,management,divorced,tertiary,no,3552,yes,no,cellular,17,nov,690,1,123,7,other,no
40,entrepreneur,divorced,tertiary,no,0,no,yes,cellular,5,feb,985,6,-1,0,unknown,no
35,blue-collar,married,secondary,no,-184,yes,no,telephone,12,may,155,2,-1,0,unknown,no
30,blue-collar,married,primary,no,123,yes,no,cellular,15,may,55,4,-1,0,unknown,no
58,management,married,tertiary,no,14922,no,no,cellular,5,aug,68,2,-1,0,unknown,no
32,admin.,married,secondary,no,167,yes,no,cellular,30,jul,103,6,-1,0,unknown,no
34,entrepreneur,married,tertiary,no,121,yes,no,telephone,18,may,57,6,-1,0,unknown,no
29,services,married,tertiary,no,0,no,yes,cellular,7,jul,158,1,-1,0,unknown,no
46,unemployed,married,secondary,no,926,no,no,cellular,7,jul,385,5,-1,0,unknown,yes
52,services,married,primary,no,432,no,no,cellular,8,aug,424,4,-1,0,unknown,no
41,self-employed,divorced,tertiary,no,4717,yes,no,cellular,19,nov,182,2,-1,0,unknown,no
53,management,married,tertiary,no,811,no,no,cellular,28,jan,405,3,-1,0,unknown,no
57,technician,married,secondary,no,2625,no,no,cellular,14,aug,465,2,-1,0,unknown,no
27,unemployed,single,secondary,no,1972,no,no,cellular,6,apr,97,1,-1,0,unknown,no
55,management,married,tertiary,no,12675,no,no,cellular,19,nov,195,2,-1,0,unknown,no
28,admin.,single,secondary,no,1143,yes,yes,unknown,4,jul,260,3,-1,0,unknown,no
46,services,married,secondary,no,12,no,no,cellular,26,aug,225,3,-1,0,unknown,no
32,admin.,single,secondary,no,642,yes,no,unknown,28,may,71,2,-1,0,unknown,no
37,management,married,tertiary,no,-57,yes,no,cellular,31,jul,37,20,-1,0,unknown,no
38,technician,married,secondary,no,2220,no,no,cellular,7,jul,87,2,-1,0,unknown,no
64,retired,divorced,secondary,no,4833,no,no,cellular,22,apr,247,2,251,1,failure,no
41,self-employed,married,tertiary,no,-326,yes,yes,unknown,23,may,86,2,-1,0,unknown,no
53,management,married,tertiary,no,1144,yes,no,unknown,30,may,142,2,-1,0,unknown,no
57,housemaid,married,primary,no,571,no,no,cellular,26,mar,181,2,-1,0,unknown,no
33,management,married,tertiary,no,340,no,no,cellular,7,aug,402,2,-1,0,unknown,no
31,technician,single,secondary,no,0,no,no,cellular,18,aug,93,2,-1,0,unknown,no
53,blue-collar,married,secondary,no,1103,yes,yes,cellular,4,feb,101,2,250,4,failure,no
29,housemaid,married,secondary,no,823,yes,no,unknown,23,may,14,2,-1,0,unknown,no
35,housemaid,married,primary,no,218,yes,no,cellular,9,jul,127,1,-1,0,unknown,no
45,entrepreneur,married,secondary,no,4688,no,no,cellular,7,jul,112,10,-1,0,unknown,no
55,technician,married,secondary,no,1004,yes,yes,unknown,27,may,224,1,-1,0,unknown,no
30,management,married,tertiary,no,155,yes,no,cellular,1,jun,353,1,-1,0,unknown,no
52,technician,married,secondary,no,526,no,yes,cellular,26,aug,60,6,-1,0,unknown,no
31,blue-collar,single,secondary,no,501,yes,no,cellular,9,apr,132,1,-1,0,unknown,no
28,technician,married,secondary,no,272,no,yes,cellular,16,jul,183,1,-1,0,unknown,no
32,admin.,single,tertiary,no,3816,yes,no,cellular,21,nov,53,3,-1,0,unknown,no
32,management,single,tertiary,no,2016,no,no,cellular,13,apr,232,1,348,1,success,yes
51,management,divorced,tertiary,no,71,yes,no,cellular,14,aug,178,2,-1,0,unknown,no
43,entrepreneur,married,primary,no,629,yes,no,cellular,2,feb,70,3,265,4,other,no
45,management,divorced,tertiary,no,2237,yes,no,cellular,8,may,128,3,322,2,failure,no
42,management,single,tertiary,no,422,yes,no,unknown,23,may,25,2,-1,0,unknown,no
38,management,single,tertiary,no,-476,yes,no,cellular,28,jul,76,2,-1,0,unknown,no
46,services,married,secondary,no,25,no,yes,unknown,25,jun,167,2,-1,0,unknown,no
33,technician,married,secondary,no,430,no,no,cellular,25,aug,250,2,-1,0,unknown,no
73,retired,married,unknown,no,519,no,no,telephone,16,oct,434,1,57,1,failure,yes
